id|name|definition|target|comparisons|fixtures|metric|ablations|decision_use
X09.GC_USD|Gold and dollar slow context|Use acquired daily GC and certified dollar/GVZ fields at their actual publication cadence; intraday GC/GLD/OG features need separate verification/acquisition.|Next-session/day stress and intraday tail conditioning from last-published state.|No gold/dollar; lagged returns/volatility; conditional cross-asset model.|Daily close used before publication, continuous-contract roll, stale dollar index and missing source.|Publication/roll integrity and incremental held-out stress/value.|Gold, dollar, GVZ, level/change and lag.|Restores an explicit gold-family research route without assuming unacquired intraday options.
X10.COT|CFTC positioning specialist|Use as-of report date, publication, revision and market category; normalize levels/changes on earlier reports only.|Subsequent session/day/week stress or source-market behavior.|No COT; last-published percentile/change; shrunken nonlinear interaction.|Tuesday position treated as Tuesday-known, revision, holiday delay and minute pseudoreplication.|Effective report count, calibrated interval and downstream increment.|Level/change/category/age and report-date placebo.|Tests slow positioning without treating reports as dealer options inventories.
X10.SHFE|Inventory publication specialist|Keep copper/silver stock, unit, warehouse/report type and publication/vintage separate before integration.|Subsequent source-market/session/day stress and receiver context.|No inventory; lagged stock/change; partially pooled source-specific model.|Observation date versus release, revised totals, unit conversion and missing report.|Report reconciliation, release-count uncertainty and incremental value.|Commodity, inventory type, lag, level/change and related FX.|Uses acquired slow inventory only after its point-in-time gate passes.
X10.SLV|Fund-holdings context|Use historical SLV fund observations with actual dates/adjustments and certified publication lag.|Subsequent silver/session/day volatility and receiver stress.|No fund data; last-published change; slow-fast interaction model.|Revised history, shares versus metal weight, daily value copied into minute independent samples and missing release.|Unit/publication fidelity, effective-observation score and incremental value.|Holdings, price, flow proxy, lag and native SI features.|Separates slow fund state from observed intraday trading flow.
L01.INTERNAL_ROLES|Internal range locations|Score 25/50/75 percent and range-open separately for reversal, continuation and target roles; preserve exact parent range.|5/15/30/60-minute reach/depart and full-position value.|Faithful quarters/EQ; conditional role model; context-conditioned ranker.|Inside-EQ continuation without gamma, open differs from EQ and wide range little room.|Geometry, calibration and matched-density internal-grid value.|Each internal reference, role, Context and optional Response requirement.|Tests useful entries inside the range instead of only at its extremes.
L02.PROJECTION_ROLES|Extension and retracement branches|Preserve each edge-relative source ratio and distinguish partial retrace, full reversal and continued extension.|Reach/order/runner and feasible value through fixed horizons.|Fixed projection rules; survival/role model; conditional excursion-derived challenger.|1.33 normalized versus edge+1.33W, partial retrace then extension, no reach and gap-over.|Exact ratios, role/time calibration and matched-distance utility.|Ratio, width, role, anchor and statistical-zone alternative.|Tests all disclosed projection semantics without universal fading or hard range caps.
L03.RTH_ETH|Prior-RTH and full-session memory|Keep prior-RTH value/extrema and source freshness rules separate from ETH-aware challengers.|Next touch/traverse/hold and current-session target roles.|RTH-only source; ETH-touch-aware state; conditional role model.|ETH sweep then RTH retest, prior VA inside full range and shortened session.|Anchor/state fidelity and paired density-matched value.|RTH/ETH, freshness, prior value versus extrema and 06–09 hierarchy.|Preserves Jumbo's exact source anchors while testing richer memory.
L04.ZONE_DEFINITION|Statistical-zone anchors and uncertainty|Separate open-relative excursions, formation mean/SD, close-offset SD and edge extensions; derive frozen predictive bands under each definition.|Reach/depart/traverse at fixed 15/30/60-minute/remainder horizons.|Disclosed source statistic; conditional quantiles; joint density-mode proposal.|Bear bounds swapped, future-inclusive estimate, different anchor same numeric value and no reach.|Anchor/quantile coverage, proper role score and matched-width utility.|Statistic, anchor, tail, conditioning and width/count.|Tests improved P-zones without inventing the proprietary source formula.
L04.WIDTH_SNAP|Zone precision and spatial refinement|Compare physical geometry, predictive uncertainty and entry tolerance separately; snap to profile/options node or use soft distance features.|Same fixed-horizon reach and ordered departure; selected full-position value.|Unsnapped statistical band; deterministic snap; bounded learned refinement.|Wider band raises hit rate, snap across unsupported map, future node and same-width placebo.|Coverage-versus-width frontier and economic value at matched count/distance.|Width, snapping, node input and ranker held fixed in generator tests.|Finds useful precision rather than rewarding levels for covering more prices.
L05.PROFILE_ROLES|POC, value, shelves and valleys|Retain each topology type and causal anchor with role forecasts; use multichannel shape rather than mandatory POC avoidance.|Hold/traverse/continuation and target value at 5/15/60 minutes.|POC/VA source; topology regression; spatial profile learner.|Minor shelf beside LVN, same centroid/different modes, bin shift and developing node moves after entry.|Geometry sensitivity, role calibration and matched-density/value controls.|Location type, anchor, smoothing, true/proxy volume and profile context.|Tests each auction location's function and data-enabled improvement.
L06.DELTA_ROLES|Side-concentration locations|Generate side-specific peaks/centers/shelves and append observed reward/protection only when known.|Future hold/traverse/control and actionable value.|Total-volume nodes; signed-delta shelf; multichannel side-role learner.|Opposing shelves cancel, positive delta loses, protection learned late and unknown sides.|Mass/sign fidelity and gain beyond L05 with sign/density placebos.|Side, cohort, anchor, reward history and total-volume control.|Keeps delta location separate from later Response and inventory narratives.
L07.IB_TPO|IB, TPO tails and single prints|Individually preserve daily/weekly IB, TPO value, single prints, poor/extreme proxies and naked prior POC with confirmation rules.|Future break/traverse/return and full-position value.|Faithful bracket rules; empirical hazards; contextual role model.|Single print filled before close, weekly partial holiday, gap falsely fills rows and early IB use.|Bracket/confirmation parity and value beyond volume-profile/grid controls.|IB versus TPO type, bracket length, dwell/volume and freshness.|Tests source auction hypotheses as distinct families even where another source dismisses them.
L08.SWING_REFINEMENT|Swing and dynamic retracement locations|Compare source pivots/fibs with volatility reversal legs and bounded offsets after actual confirmation.|Reach/depart at 5/15/60 minutes and current-plan utility.|Fixed fractal/fib; causal reversal leg; regularized offset model.|Future swing, nested equal highs, provisional leg moves and no retracement.|Confirmation cost, geometry stability and matched-age/distance value.|Anchor scale, ratio, confirmed/provisional and Context.|Tests learned swing locations while retaining source definitions.
L09.GAP_TYPES|FVG, body gap and true imbalance|Keep wick FVG, body-gap/VI, measured volume imbalance and later flip/mitigation states distinct by source/timeframe.|Reach/fill/flip/depart and executable value after formation.|Exact source rule; size/age hazard; footprint-informed zone model.|Unfinished HTF bar, same OHLC consecutive HTF bars, partial fill and price VI mislabeled volume.|Formation parity, role calibration and gap-size/density-matched value.|Gap definition, timeframe, displacement, mitigation and volume information.|Separates real formation conditions from terminology and repainting artifacts.
L10.ENTRY_GEOMETRY|Block entry and stop alternatives|Compare full-range/body order-block interpretation, swept-wick rejection blocks, confirmation versus midpoint entry and midpoint/extreme stops.|Fill/non-fill, ordered bracket outcome and full-position net value.|Faithful 2/3/5-minute confirmation; simple price rule; contextual timing model.|Third close not complete, caption/diagram stop conflict, midpoint never revisited and same-bar ambiguity.|Exact geometry/time, conservative fills and initial-opportunity/day net.|Entry, stop, candle width, source variant and Response stage.|Tests the actual trade alternatives hidden by attractive chart R:R.
L11.DYNAMIC_BANDS|VWAP line and target policy|Keep frozen location labels and explicitly moving VWAP target policies distinct across RTH/ETH/event anchors.|Contact/retest/traverse and full-position exit value.|Source 2/2.5-SD; robust quantile bands; conditional role model.|Reset jump, target moves after entry, zero volume, final bar and repeated cross.|Moment/anchor correctness, band coverage and matched-distance economic value.|Anchor, band estimator, slope and frozen/moving target.|Tests VWAP upgrades without retrospectively moving a missed level.
L12.PRINT|Unsigned print-reference locations|DEFERRED with X08.TRF: birth received print/causal cluster at its source price, fixed width/expiry and correction lineage.|5/15/60-minute/session reach/depart and receiver utility.|No-print objects; raw print level; causal clustered reference/role model.|Late print, daily top-list leakage, corrected cluster, missing mapping and retrospective width.|Birth/correction fidelity and time/size/distance/width-matched value.|Size, cluster rule, expiry, mapping and ordinary reference-price controls.|Keeps source print locations testable without assuming support or trade side.
L13.SMALL_SCENARIO_NODES|Small and scenario-conditioned option nodes|Test individual per-expiry nodes across all magnitudes with mapped uncertainty and joint surface/holdings scenarios.|Reach, local reaction, sustained travel and feasible VALUE.|Static prior-OI nearest/strongest; repriced node; dynamic/context-conditioned role.|Small node wins, strongest too far, missing wing, basis drift and no gamma conjunction.|Calibration and conservative value on matched density/coverage/width cohorts.|Magnitude, chain, expiry, latent update, IV dynamics and mapping.|Tests the user's many-node selection problem without excluding small nodes.
L14.CORRIDORS|Centers and multi-node corridors|Keep exposure center/bands, max-pain set and topology corridors as distinct objects with constituent lineage.|Traverse/pin/continuation/runner and target value.|Source center; nearest-node midpoint; conditional corridor model.|Duplicate node/center votes, empty side, changing expiry selector and corridor midpoint entry.|Formula/identity and value beyond constituent nodes with compatible-placebo corridors.|Center, bands, envelope, topology, max pain and source membership.|Tests useful regions between options nodes rather than only walls.
L15.IMMEDIATE_WAIT|Receiver entry after source reaction|From the same source opportunity compare immediate current-price, bounded pullback and simple confirmation with receiver stops.|Complete action VALUE, non-fill, missed move and remaining duration.|Receiver-only; direct source event; calibrated immediate/wait model.|No local node, receiver already moved, source failure, late ETF bar and unsafe stop.|Common-origin net/risk/occupancy and source-lag sensitivity.|Local-touch requirement, source return/event, entry timing and confirmation.|Preserves actionable source-only opportunities and tests the cost of waiting.
L16.GRID_OFFSETS|Bounded learned location proposals|Compare fixed grids/source levels, causal density peaks and learned offsets/widths with a frozen candidate budget.|Spatial reach/depart/utility map and selected policy value.|Source/grid; KDE or standardized clustering; bounded profile/set proposal model.|Dense levels cover every extreme, negative signed density, outside-bound offset and future cluster merge.|Matched count/width/distance utility, spatial calibration and proposal stability.|Proposal versus scorer, source inputs, offset, width/count and clustering metric.|Tests flexible in-between locations without hindsight HOD/LOD labels.
L17.RETEST_HAZARD|Useful lifetime and retest transitions|Separate object age, qualifying visit count, failure, reclaim and renewal; retirement never erases a loss.|Next retest/hold/fail and remaining usable lifetime.|Static TTL/first-touch rule; shrunken hazard; competing-risk lifecycle model.|Many ticks one visit, sweep then reclaim, refreshed alias, no retest and later profitable touch.|Calibrated incidence and complete-policy gain including rejected opportunities.|Age, visit/depletion, renewed evidence, deterministic lifetime and per-idea budget.|Tests adaptive freshness without post-hoc deletion or unlimited retries.
L18.DEPENDENCE|Candidate provenance and complete alternatives|Keep distinct IDs and correlated evidence groups; freeze complete feasible plans before value/ranking.|Correct decision set and incremental selection utility.|Unmerged list; deterministic overlap grouping; regularized set ranker.|POC equals VWAP, expiries share strike, conflicting roles, overflow and no-local-node candidate.|Exact counts/provenance, ranking/value and complete-day opportunity accounting.|Group metadata, raw count, independent-source count, set interactions and candidate caps.|Prevents duplicate confluence from manufacturing confidence or hiding alternatives.
L19.ORIGIN_MEMORY|Effort-origin and protected-print objects|Birth causal aggression clusters before reward; compare source fixed size filters with normalized cohorts and later protection/retest states.|Future origin retest/hold/continuation and full-position value.|Price-only burst; source print threshold; conditional memory/role model.|Largest print no reward, later protection, opposing origin, already consumed visit and failed idea.|Birth/confirmation parity and sign/size/time/density-matched value.|Cohort, size, sign, markout, decay and price-origin control.|Tests discrete aggression locations separately from continuous delta profiles.
G01.DIVERSITY|Specialist diversity and shared representations|Compare independently trained information-specific experts, shared backbone with independent heads, and a simple joint model on identical targets/budgets.|Calibrated common-target distribution and complete-policy gain.|Uniform/fixed mixture; regularized soft gate; shallow nonlinear gate and input-matched joint model.|Identical experts appear twice, all missing, gate collapse, correlated residuals and mismatched target horizon.|Proper scores, residual dependence, calibration, effective expert use and value.|Each expert/input family, sharing versus independence, gate class and compute/search budget.|Determines whether multiple specialists add useful information rather than merely model count.
G02.MULTITARGET|Variance, tail and excursion ensemble roles|Keep compatible physical-variance mixture separate from later excursion/path fusion; compare joint multi-task heads with separate models.|Positive variance, calibrated tails/excursions and ordered path only when supported.|Best single physical expert; convex mixture; regularized conditional gate or shared multi-task model.|Variance averaged with GEX, P/Q confusion, calendar horizon mismatch and current-edge cycle.|QLIKE/CRPS/tail calibration plus L04/G04/P02 economic effects.|Each physical/IV/VIX expert, weighting, multi-task sharing and uncertainty.|Tests whether richer volatility improves the specific downstream decision targets.
G03.CONDITIONAL|Calibration and uncertainty diagnostics|Use chronological OOF predictions, separate calibrator fitting, target-specific methods and supported subgroup pooling.|Forecast probabilities/quantiles and conditional coverage at actual deployment prevalence.|Uncalibrated; sigmoid/temperature/quantile correction; isotonic or hierarchical challenger.|Reweighted training prior, rare subgroup, missing-chain pattern, stale predictions and reused calibration set.|Proper score, calibration slope/intercept, coverage/width and conditional uncertainty.|Calibrator, pooling, age/mask conditioning and calibration window.|Separates ranking quality from reliable probabilities used for trade value.
G04.ORDER|Reach, arrival and ordered first passage|Compare marginal reach hazards with joint arrival/order models using fixed bands and a single end horizon.|First contact/time/state, gap/no contact and competing nearer/deeper arrival.|Distance/volatility; discrete survival; coherent dynamics/competing-risk model.|Same excursions/opposite order, contact at horizon, gap-over, current inside and wider band.|Brier/log/time calibration and selection value at matched geometry.|Distance, Context, IV, arrival state and joint dependence.|Prevents impossible order inference from excursion-only forecasts.
G05.RUNNER_DURATION|Reaction versus runner quality|Separate bounce/pin, adverse first move, continuation, sustained departure and timeout using competing barriers and occupied duration.|Joint ordered outcome, return/excursions and duration over fixed boundaries.|Touch/response frequency; multistate hazard; joint duration/path model.|Bounce reaches local a but no travel, runner after delay, both barriers, no contact and future swing target.|Conditional proper/time scores and complete-position value.|Role definition, horizon, barriers, Context/options and duration.|Tests whether a useful reaction leaves sufficient executable travel.
G06.COST_DEPENDENCE|Joint fill and action-value uncertainty|Estimate action plus declared exit-policy outcome with dependent fill/adverse markout, duration and terminal account state.|Net increment/duration/terminal state, tail loss and non-fill.|Empirical bracket table; regularized distributional value; coherent scenario aggregation.|High accuracy negative net, non-fill, stop gap, spread double charge and impossible partial exit.|Value/calibration, conservative scenario bounds and full sequential net/risk.|Fill/cost model, path, return versus duration, all-in fees and bound selection.|Tests true economic usefulness of otherwise accurate signals.
G07.DURATION|Common-boundary waiting and occupancy|Use incremental marked net reward or complete macroaction return ending at its terminal state, with one-position occupancy.|Comparable finite-horizon action Q and chosen waits/deadlines.|Act-if-positive; fixed wait/deeper rule; finite event tree/fitted value model.|$30 short trade leaves $80 versus $100 long trade, fees counted twice, deeper never reached and pending order.|Reward telescoping, event/macro equivalence and paired daily value.|Waiting value, duration, future-candidate model, planning depth and risk state.|Prevents horizon mismatch and double-counted trade returns in selection.
G07.INFORMATION|Value of observing another stage|Model possible future evidence, its arrival delay, failed/non-arriving branches and changed executable price from the same origin.|Net value of act now, observe, cancel or stay flat.|Immediate action; fixed confirmation; finite observation tree with regularized transitions.|Confirmation after target, info never arrives, wrong side confirmed, source expires and boundary during wait.|Common-origin rescued/lost trades, entry deterioration and full-day net.|Each evidence stage, latency, expected information and deeper-price wait.|Tests whether higher apparent signal confidence actually improves decisions.
G08.RANKING|Candidate and action selection objectives|Compare nearest/strongest, calibrated value ranking, pairwise/listwise rankers and constrained set selection on complete causal risk sets.|Selected action utility and complete eligible-day net/risk.|Nearest/strongest; conservative expected-value rank; regularized set/listwise model.|Highest reaction score has no reach, duplicate confluence, competing long/short, stale plan and action unavailable.|Value calibration, decision regret within the declared simulation and full-policy results.|Ranker versus generator, value components, candidate density and timing.|Solves many good-looking levels without using eventual best-of-day labels.
G09.SUPPORT|Applicability and abstention|Separate critical integrity veto, validated missingness support, statistical uncertainty and selected-action robustness.|Coverage-risk-value tradeoff and correctness of abstention reasons.|Fixed quality rules; conditional support gate; regularized uncertainty gate.|All experts missing, optional chain absent, contradictory forecasts, extrapolated wing and unsupported session.|Conditional calibration, abstention/coverage frontier and risk/net tradeoff.|Quality versus statistical gate, threshold, missing pattern and disagreement.|Allows valid independent C/L signals while containing unsupported confidence.
G10.ADAPTATION|Controlled per-expert change policies|Compare fixed weights, rolling/decayed fitting, recalibration, change-point triggers and retirement using only matured labels.|Prequential proper score, drift recovery and complete adaptive-policy economics.|Frozen incumbent; scheduled recalibration; preregistered limited adaptive rule.|Taken-trades-only labels, delayed OI, reset after loss, gate collapse and switching to hindsight winner.|Full-trajectory score/value, false changes, recovery delay and version lineage.|Update type/cadence/window, each expert and fixed-policy control.|Tests adaptation as a policy rather than an untracked source of future-test tuning.
P01.ACTION_STATE|Finite one-mini action transitions|Define flat/long/short/pending/canceling/reconciling states; enumerate only legal full-unit intents with actual account snapshot.|Exact feasible action set and sequential position/P&L path.|Transparent state machine; optimized event runtime; learned selection only inside legal actions.|Duplicate entry, reversal before exit ack, fill during cancel, partial message and restart.|Zero illegal states/duplicate exposure; exact reconciliation.|Routing order and event ordering scenarios; risk remains independent.|Ensures every model comparison respects the same position and pending-order constraints.
P02.BRACKETS|Structural invalidation and destination choices|Compare source structural stops, volatility stops, feasible targets and time exits with current entry price and boundary.|Joint bracket net/duration/tail distribution.|Source fixed bracket; registered stop/target grid; calibrated distributional plan selector.|Stop inside spread, target already consumed, mapper error, gap loss and boundary-truncated plan.|Geometry/risk feasibility, value calibration and full-policy net.|Stop versus target versus entry, structural/volatility information and uncertainty.|Tests how improved Context/Location becomes a feasible one-mini trade.
P03.EXIT_VALUE|Full-position hold, protect and exit|Compare fixed brackets, time exits, causal protected-swing trails and residual hold/exit value using current state.|Incremental future net and occupied duration through boundary.|Fixed bracket; price-only trail; regularized residual-value policy.|Partial exit attempted, future-protected swing, stop widened after loss, target moved and gap.|Incremental reward/account parity and common-origin full-day value.|Entry held fixed while exit changes; each protection/flow/Context input.|Measures management benefit without conflating it with a better initial entry.
P04.REENTRY|Idea lifetime and cumulative risk|Require refreshed evidence and explicit visit/idea identity; compare retry counts and time/volume reset policies.|Additional attempt net, cumulative idea loss and opportunity occupancy.|No retry; fixed one-retest; state-conditioned retry policy.|Renamed failed object, second test after loss, rapid churn and genuinely new source event.|Idea/account reconciliation, retry calibration and complete-day risk/net.|Retry count, new-information threshold, decay and underlying level model.|Tests repeated opportunities without manufacturing fresh risk budgets.
P05.CLOCKS|Venue arrival versus information time|Replay the standing venue BBO at simulated arrival; keep unseen venue changes out of strategy features; preserve latency/order ambiguity. Obtain the state from validated native MBP-1; preserve all intervening quote/trade/protective events even with minute candidate scoring.|Scenario marketable fills, shortfall and account net.|Conservative marketable reference; explicit feed/outbound latency scenarios.|Old standing quote still valid, venue quote not yet received, zero size, missing depth and gap.|Exact event/price rules, causal decisions and conservative net sensitivity.|Feed delay, order delay, impact and quote-age assumptions.|Corrects execution timing that can otherwise create an artificial edge or penalty.
P05.PASSIVE|Passive fill and adverse-selection uncertainty|Preserve touch bounds, eligible post-arrival executions, priority scenarios, cancellation and joint adverse markout; telemetry needed for calibration.|Fill probability/time and net conditional on fill/non-fill.|Marketable baseline; trade-through conservative scenario; calibrated survival/queue proxy if supported.|Touch no prints, queue ahead unknown, fill/cancel race, stop-limit trigger/no fill and late ack.|Scenario consistency, fill calibration when observable and robust policy value.|Priority, latency, order lifetime, fill/markout dependence and marketable alternative.|Tests whether a passive-order benefit survives plausible queue uncertainty.
P06.SHORTFALL|Cost and latency specialists|Separate spread, fees, outbound delay, impact, adverse selection and computation delay by source/session/state.|Arrival/implementation shortfall and tail costs for each permitted order type.|Fixed conservative cost; seasonal quantile regression; state-conditioned cost model.|Spread charged twice, news gap, stale signal, source only minute data and fee change.|Cost calibration/coverage and strategy sensitivity to worsening conditions.|Each cost, order type, time, volatility and missing telemetry.|Determines whether signal quality survives actual execution economics.
P07.IDEMPOTENCY|Order and broker reconciliation|Persist intent/ack/fill/cancel linkage and idempotency; broker truth and independent protection survive local failures.|Correct position/order state at every event and restart.|Reference transition table; durable OMS adapter; no predictive override of broker truth.|Lost ack, duplicate fill, OCO race, disconnect after send and reconnect filled entry.|Exact unique fills/positions and bounded unresolved/unprotected duration.|Transport/retry/checkpoint ordering under deterministic fault injection.|Keeps model improvements from being invalidated by order-state errors.
P08.RESERVATION|Daily loss and atomic risk reserve|Use day-start marked trading net plus remaining stop/cost/tail/race exposure; reserve before dispatch and reconcile fills once.|Correct headroom and feasible one-mini actions; separately verified firm floors.|Independent literal ledger; optimized reservation engine; scenario reserve choices.|Open loss counted twice, profits not yet realized at assumed mark, two workers reserve, stale position and gap beyond stop.|USD reconciliation, no unauthorized exposure, breach sensitivity and foregone opportunities.|Reserve/cost stress and measurement mark; never disable hard integrity constraints.|Makes signal selection obey the actual remaining daily/account risk.
P09.ACCOUNT_PATHS|Product lifecycle and rule scenarios|Version actual account terms, drawdown floors, news/automation/holding permissions and payout conditions by product/date.|Correct eligibility, breach, reset and payout-state transitions.|Synthetic research account; each verified named product separately; strict intersection only as a scenario.|Rule changes, trailing floor versus daily loss, pending payout, evaluation-to-funded transition and conflicting docs.|Reference-path ledger parity and full-strategy feasibility under each selected scenario.|Product assumptions, fees and cash timing, without choosing terms from results.|Prevents apparent strategy feasibility from relying on an invented account contract.
P10.REMAINDER|Boundary-truncated opportunity and flattening|Permit only plans that can exit with the actual remaining horizon and measured safety buffer; independent timer handles outages.|Feasible late-session net and confirmed flat by boundary.|Fixed early cutoff; explicit remainder model; empirical latency-buffer challenger.|Half-day, DST, final-hour valid short trade, rejected flatten and feed freeze.|Boundary/state fidelity, tail timing and late-session risk/net tradeoff.|Entry cutoff, buffer, horizon model and independent fault scenarios.|Tests late opportunities without silently carrying a long-horizon forecast through the cutoff.
P11.CASH|Trading net versus business cash|Keep gross/fees/slippage, account eligibility, payouts, subscription/evaluation/reset costs and received cash in distinct ledgers.|Mean net per eligible day and separate withdrawable/received business cash outcomes.|Always flat; synthetic strategy net; full account/business lifecycle simulation.|Zero-trade/outage days, pending payout, reset fees, payout denial and excluded losing days.|Exact ledger reconciliation, dependent-date uncertainty and objective gap.|Cost/account/cash assumptions and denominator scenarios explicitly named.|Tests the actual $2,000/day ambition without replacing it with selected trade statistics.
P12.FAIR_INSTRUMENT|NQ versus ES research selection|Compare one-mini complete policies on common dates with correct point value, fees/BBO/coverage; choose in development.|Daily net/risk/account survival and data-supported execution choice.|Fixed NQ; fixed ES; separately registered causal selector if ever considered.|Daily hindsight winner, missing ES BBO, different eligible dates and incorrect contract multiplier.|Paired common/full-cohort results and uncertainty at the same one-mini constraint.|Information source and execution instrument separately.|Allows a fair preferred-NQ comparison without multiplying accounts or contracts.
R10.CVD_CASES|Distinct CVD control hypotheses|DEFERRED detailed Response: independently test own-median, slope, price-extrema divergence, inter-cohort and cross-flow SMT with true OHLC.|Prefix 1/5/15/30-second and minute path/value where timing supports them.|Faithful rules; regularized multiscale model; compact sequence challenger.|Price/CVD unit comparison, reset, future pivot, rising-price/falling-CVD continuation and same close/different extremes.|Conditional proper scores and value after confirmation delay.|Every CVD construction/reference/horizon, price-only and cohort-close baselines.|Keeps each discussed flow-control interpretation separate and independently measurable.
R11.FA_POC|Specific prior-balance-POC failed auction|DEFERRED detailed Response: leave balance A, reach/reject distinct prior balance B POC, return toward/into A; preserve unfinished branches.|Stage hazards and A far-edge traversal versus internal failure at fixed horizons.|Exact source chain; branch-frequency model; multistate duration model.|Unconfirmed B profile, B acceptance instead of reject, return to A without far-edge hit and A/B alias.|Stage identity, calibrated transition/time and common-origin policy value.|B POC condition, return stage, Context and earlier direct action.|Preserves this source mechanism rather than collapsing it into any failed breakout.
R11.FA_VALUE|Broader prior-value failed auction|DEFERRED detailed Response: retain the distinct prior-value reference variant and compare on the same initial A-exit population.|Stage/traversal/value outcomes identical in clock to FA_POC comparison.|Source value-reference rule; conditional hazard; pooled-versus-separate variant model.|Non-POC value touch, A/B lineage, no return and conditioning only completed winners.|Paired role/calibration and common-origin net with all failures.|POC versus other value reference, rejection criterion and horizon.|Tests the meaningful difference between two similarly named source setups.
R12.SQUEEZE_BRANCHES|Failed squeeze and resqueeze alternatives|DEFERRED detailed Response: distinguish straight squeeze, failed-squeeze fade, origin reclaim/defense and renewed original-direction squeeze.|Competing stage/path/value from the same original catalyst.|Explicit finite-state branches; multistate hazard; compact event sequence model.|Bull squeeze fails then bull resqueeze, origin versus newer pocket, no retest and repeated failures.|Branch/time calibration and complete early/refill/resqueeze net.|Origin memory, flow, defense, direction branch and wait duration.|Avoids interpreting every failure as an opposite-direction entry.
R13.QUIET_ENTRY|Quiet failure without own-side burst|DEFERRED detailed Response: require observed opposing-effort decay/poor progress with full activity coverage; compare direct C/L and later own-flow confirmation.|Resume/reversion and remaining action value.|Price/pace baseline; source passive-reversion rule; conditional effort hazard.|No 30–60 trades but many large trades, quote-driven trend, thin inactivity and no large own-side print.|Conditional path score and same-origin delay/missed-move economics.|Balance, decay, own-flow confirmation and sign uncertainty.|Tests an alternate entry mechanism rather than forcing aggression confirmation.
R14.PREFIXES|Value of every absorption/refill stage|DEFERRED detailed Response: observe hold, recovery, opposing shrink/delta turn, reward and optional refresh with stage timing and alternate order.|Common origin future path/value at each available prefix.|Source conjunction; additive duration model; multistate/sequence learner.|Three updates versus three price ticks, progress before delta turn, no refresh, late entry and timeout.|Per-prefix calibration and incremental net per added stage.|Leave-one-stage, order, duration, continuous versus discrete alphabet and early C/L control.|Determines whether each extra confirmation earns its cost in delay and missed trades.
R15.PROTECTION|Causal protected structure|DEFERRED detailed Response: append reward and protected high/low only after the specified displacement/confirmation, with later failure retained.|Hold/fail hazard and incremental full-position protection value.|Price-only swing protection; source flow memory; survival/control-transition model.|Largest delta unrewarded, protection known late, two control switches and gap through stop.|Confirmation timing, hazard calibration and common-entry management net.|Flow versus price memory, confirmation, decay and visit count.|Tests management-relevant control evidence without assuming the same traders remain positioned.
R16.ANCHOR_DETAIL|Minor-node and intra-wick alternatives|DEFERRED detailed Response: preserve causal calendar/leg/dealing-range VP/delta anchors, neighboring LVNs/shelves and repeated reactions.|Hold/traverse/stall and late-entry value.|Profile-only; flow-only; joint spatial-role model.|Post-trade chosen profile, small node beside valley, final wick leakage and upper/lower zone confusion.|Anchor/geometry fidelity and density/width/time-matched economic increment.|Anchor, minor/major node, delta/volume, observed visits and flow.|Tests precise profile interaction details from the charts and conversations.
R17.VISITS|First, second and later visit selection|DEFERRED detailed Response: require actual leave/return episodes; account for survival into later visits and cumulative idea risk.|Visit-specific outcomes and full initial-opportunity policy value.|First-only; second-only/source rule; hierarchical repeat hazard.|Repeated ticks one visit, never-returning runner, second visit after loss and renamed object.|Conditional incidence plus whole-origin/day economics.|Visit count, age, penetration, current defense and waiting.|Tests whether later visits improve the complete policy rather than just conditional win rate.
R18.STOP_INTERPRETATIONS|Sweep/block source alternatives|DEFERRED detailed Response: compare 2/3/5-minute completed sweep confirmation, body/full-range block and rejection-wick stop variants.|Actual fill/bracket/time/value from each available confirmation.|Faithful computable source; corrected causal rule; event-time sweep/reclaim model.|Incomplete third candle, midpoint never fills, wick caption conflict and continuation after failure.|Availability/geometry parity and same-origin conservative net.|Confirmation, retracement, stop geometry and local Context.|Preserves source ambiguities as experiments instead of choosing the best hindsight stop.
R19.ENTRY_EXIT|Independent Response timing and management roles|DEFERRED detailed Response: evaluate entry filtering/timing and post-entry protection/exit separately using a frozen baseline opportunity and G forecasts.|Incremental net/duration for each prefix/full-position decision.|Direct C/L; simple price confirmation; individual R stage and residual-value policy.|Confirmation after target, changed spread, non-fill, lost runner and boundary while waiting.|Rescued losses, lost winners, entry shortfall, exit gain and complete-day reconciliation.|Entry-only, exit-only, both and neither; no second feedback pass.|Prevents a good pattern classifier from being credited with unavailable trade value.
R20.CAUSAL_VARIANTS|Every preserved Pine timing family|DEFERRED detailed Response: retain source-member sweep/CISD/FVG/pivot/oscillator/repair/fork/inside-outside variants; exact PIN findings define local cases.|Per-member causal stage and subsequent common path/value targets.|Computable source rule; explicitly repaired causal variant; continuous statistical challenger.|Unfinished HTF, backplotted pivot, missing reset, identical HTF bars, drawing toggle and truncated tail.|Source-specific assertions, timing parity and matched-density economic value.|Each member/variant, timeframe, thresholds, source defects and simple-price control.|Keeps the 83-member archive's distinct mechanisms testable without executing bundled code now.
